sim_id,temperature,totalNumberOfMCS,neighborOrder,medium_medium,medium_cellA,medium_cellB,cellA_cellA,cellA_cellB,cellB_cellB
sim_000001,20,700,2,30,2,4,5,6.9166666665,9.5
sim_000002,40,700,2,30,2,4,5,6.9166666665,9.5
sim_000003,10,500,2,30,2,4,5,6.9166666665,9.5
sim_000004,50,500,2,30,2,4,5,6.9166666665,9.5
sim_000005,10,900,2,30,2,4,5,6.9166666665,9.5
sim_000006,50,900,2,30,2,4,5,6.9166666665,9.5
sim_000007,30,600,2,30,2,4,5,6.9166666665,9.5
sim_000008,30,800,2,30,2,4,5,6.9166666665,9.5
sim_000009,10,700,1,30,2,4,5,6.9166666665,9.5
sim_000010,50,700,1,30,2,4,5,6.9166666665,9.5
sim_000011,10,700,3,30,2,4,5,6.9166666665,9.5
sim_000012,50,700,3,30,2,4,5,6.9166666665,9.5
sim_000013,30,500,1,30,2,4,5,6.9166666665,9.5
sim_000014,30,900,1,30,2,4,5,6.9166666665,9.5
sim_000015,30,500,3,30,2,4,5,6.9166666665,9.5
sim_000016,30,900,3,30,2,4,5,6.9166666665,9.5
sim_000017,30,700,1.5,30,2,4,5,6.9166666665,9.5
sim_000018,30,700,2.5,30,2,4,5,6.9166666665,9.5
sim_000019,10,700,2,10,2,4,5,6.9166666665,9.5
sim_000020,50,700,2,10,2,4,5,6.9166666665,9.5
sim_000021,10,700,2,50,2,4,5,6.9166666665,9.5
sim_000022,50,700,2,50,2,4,5,6.9166666665,9.5
sim_000023,30,500,2,10,2,4,5,6.9166666665,9.5
sim_000024,30,900,2,10,2,4,5,6.9166666665,9.5
sim_000025,30,500,2,50,2,4,5,6.9166666665,9.5
sim_000026,30,900,2,50,2,4,5,6.9166666665,9.5
sim_000027,30,700,1,10,2,4,5,6.9166666665,9.5
sim_000028,30,700,3,10,2,4,5,6.9166666665,9.5
sim_000029,30,700,1,50,2,4,5,6.9166666665,9.5
sim_000030,30,700,3,50,2,4,5,6.9166666665,9.5
sim_000031,30,700,2,20,2,4,5,6.9166666665,9.5
sim_000032,30,700,2,40,2,4,5,6.9166666665,9.5
sim_000033,10,700,2,30,2,4,5,6,9.5
sim_000034,50,700,2,30,2,4,5,6,9.5
sim_000035,10,700,2,30,2,4,5,7.833333333,9.5
sim_000036,50,700,2,30,2,4,5,7.833333333,9.5
sim_000037,30,500,2,30,2,4,5,6,9.5
sim_000038,30,900,2,30,2,4,5,6,9.5
sim_000039,30,500,2,30,2,4,5,7.833333333,9.5
sim_000040,30,900,2,30,2,4,5,7.833333333,9.5
sim_000041,30,700,1,30,2,4,5,6,9.5
sim_000042,30,700,3,30,2,4,5,6,9.5
sim_000043,30,700,1,30,2,4,5,7.833333333,9.5
sim_000044,30,700,3,30,2,4,5,7.833333333,9.5
sim_000045,30,700,2,10,2,4,5,6,9.5
sim_000046,30,700,2,50,2,4,5,6,9.5
sim_000047,30,700,2,10,2,4,5,7.833333333,9.5
sim_000048,30,700,2,50,2,4,5,7.833333333,9.5
sim_000049,30,700,2,30,2,4,5,6.45833333325,9.5
sim_000050,30,700,2,30,2,4,5,7.37499999975,9.5
sim_000051,10,700,2,30,2,4,5,6.9166666665,7
sim_000052,50,700,2,30,2,4,5,6.9166666665,7
sim_000053,10,700,2,30,2,4,5,6.9166666665,12
sim_000054,50,700,2,30,2,4,5,6.9166666665,12
sim_000055,30,500,2,30,2,4,5,6.9166666665,7
sim_000056,30,900,2,30,2,4,5,6.9166666665,7
sim_000057,30,500,2,30,2,4,5,6.9166666665,12
sim_000058,30,900,2,30,2,4,5,6.9166666665,12
sim_000059,30,700,1,30,2,4,5,6.9166666665,7
sim_000060,30,700,3,30,2,4,5,6.9166666665,7
sim_000061,30,700,1,30,2,4,5,6.9166666665,12
sim_000062,30,700,3,30,2,4,5,6.9166666665,12
sim_000063,30,700,2,10,2,4,5,6.9166666665,7
sim_000064,30,700,2,50,2,4,5,6.9166666665,7
sim_000065,30,700,2,10,2,4,5,6.9166666665,12
sim_000066,30,700,2,50,2,4,5,6.9166666665,12
sim_000067,30,700,2,30,2,4,5,6,7
sim_000068,30,700,2,30,2,4,5,7.833333333,7
sim_000069,30,700,2,30,2,4,5,6,12
sim_000070,30,700,2,30,2,4,5,7.833333333,12
sim_000071,30,700,2,30,2,4,5,6.9166666665,8.25
sim_000072,30,700,2,30,2,4,5,6.9166666665,10.75
sim_000073,30,700,2,30,2,4,5,6.9166666665,9.5
sim_000074,10,700,2,30,2,4,5,6.9166666665,9.5
sim_000075,50,700,2,30,2,4,5,6.9166666665,9.5
sim_000076,30,500,2,30,2,4,5,6.9166666665,9.5
sim_000077,30,900,2,30,2,4,5,6.9166666665,9.5
sim_000078,30,700,1,30,2,4,5,6.9166666665,9.5
sim_000079,30,700,3,30,2,4,5,6.9166666665,9.5
sim_000080,30,700,2,10,2,4,5,6.9166666665,9.5
sim_000081,30,700,2,50,2,4,5,6.9166666665,9.5
sim_000082,30,700,2,30,2,4,5,6,9.5
sim_000083,30,700,2,30,2,4,5,7.833333333,9.5
sim_000084,30,700,2,30,2,4,5,6.9166666665,7
sim_000085,30,700,2,30,2,4,5,6.9166666665,12
sim_000086,20,700,2,30,2,4,5,6.9166666665,9.5
sim_000087,40,700,2,30,2,4,5,6.9166666665,9.5
sim_000088,10,500,2,30,2,4,5,6.9166666665,9.5
sim_000089,50,500,2,30,2,4,5,6.9166666665,9.5
sim_000090,10,900,2,30,2,4,5,6.9166666665,9.5
sim_000091,50,900,2,30,2,4,5,6.9166666665,9.5
sim_000092,30,600,2,30,2,4,5,6.9166666665,9.5
sim_000093,30,800,2,30,2,4,5,6.9166666665,9.5
sim_000094,10,700,1,30,2,4,5,6.9166666665,9.5
sim_000095,50,700,1,30,2,4,5,6.9166666665,9.5
sim_000096,10,700,3,30,2,4,5,6.9166666665,9.5
sim_000097,50,700,3,30,2,4,5,6.9166666665,9.5
sim_000098,30,500,1,30,2,4,5,6.9166666665,9.5
sim_000099,30,900,1,30,2,4,5,6.9166666665,9.5
sim_000100,30,500,3,30,2,4,5,6.9166666665,9.5
sim_000101,30,900,3,30,2,4,5,6.9166666665,9.5
sim_000102,30,700,1.5,30,2,4,5,6.9166666665,9.5
sim_000103,30,700,2.5,30,2,4,5,6.9166666665,9.5
sim_000104,10,700,2,10,2,4,5,6.9166666665,9.5
sim_000105,50,700,2,10,2,4,5,6.9166666665,9.5
sim_000106,10,700,2,50,2,4,5,6.9166666665,9.5
sim_000107,50,700,2,50,2,4,5,6.9166666665,9.5
sim_000108,30,500,2,10,2,4,5,6.9166666665,9.5
sim_000109,30,900,2,10,2,4,5,6.9166666665,9.5
sim_000110,30,500,2,50,2,4,5,6.9166666665,9.5
sim_000111,30,900,2,50,2,4,5,6.9166666665,9.5
sim_000112,30,700,1,10,2,4,5,6.9166666665,9.5
sim_000113,30,700,3,10,2,4,5,6.9166666665,9.5
sim_000114,30,700,1,50,2,4,5,6.9166666665,9.5
sim_000115,30,700,3,50,2,4,5,6.9166666665,9.5
sim_000116,30,700,2,20,2,4,5,6.9166666665,9.5
sim_000117,30,700,2,40,2,4,5,6.9166666665,9.5
sim_000118,10,700,2,30,2,4,5,6,9.5
sim_000119,50,700,2,30,2,4,5,6,9.5
sim_000120,10,700,2,30,2,4,5,7.833333333,9.5
sim_000121,50,700,2,30,2,4,5,7.833333333,9.5
sim_000122,30,500,2,30,2,4,5,6,9.5
sim_000123,30,900,2,30,2,4,5,6,9.5
sim_000124,30,500,2,30,2,4,5,7.833333333,9.5
sim_000125,30,900,2,30,2,4,5,7.833333333,9.5
sim_000126,30,700,1,30,2,4,5,6,9.5
sim_000127,30,700,3,30,2,4,5,6,9.5
sim_000128,30,700,1,30,2,4,5,7.833333333,9.5
sim_000129,30,700,3,30,2,4,5,7.833333333,9.5
sim_000130,30,700,2,10,2,4,5,6,9.5
sim_000131,30,700,2,50,2,4,5,6,9.5
sim_000132,30,700,2,10,2,4,5,7.833333333,9.5
sim_000133,30,700,2,50,2,4,5,7.833333333,9.5
sim_000134,30,700,2,30,2,4,5,6.45833333325,9.5
sim_000135,30,700,2,30,2,4,5,7.37499999975,9.5
sim_000136,10,700,2,30,2,4,5,6.9166666665,7
sim_000137,50,700,2,30,2,4,5,6.9166666665,7
sim_000138,10,700,2,30,2,4,5,6.9166666665,12
sim_000139,50,700,2,30,2,4,5,6.9166666665,12
sim_000140,30,500,2,30,2,4,5,6.9166666665,7
sim_000141,30,900,2,30,2,4,5,6.9166666665,7
sim_000142,30,500,2,30,2,4,5,6.9166666665,12
sim_000143,30,900,2,30,2,4,5,6.9166666665,12
sim_000144,30,700,1,30,2,4,5,6.9166666665,7
sim_000145,30,700,3,30,2,4,5,6.9166666665,7
sim_000146,30,700,1,30,2,4,5,6.9166666665,12
sim_000147,30,700,3,30,2,4,5,6.9166666665,12
sim_000148,30,700,2,10,2,4,5,6.9166666665,7
sim_000149,30,700,2,50,2,4,5,6.9166666665,7
sim_000150,30,700,2,10,2,4,5,6.9166666665,12
sim_000151,30,700,2,50,2,4,5,6.9166666665,12
sim_000152,30,700,2,30,2,4,5,6,7
sim_000153,30,700,2,30,2,4,5,7.833333333,7
sim_000154,30,700,2,30,2,4,5,6,12
sim_000155,30,700,2,30,2,4,5,7.833333333,12
sim_000156,30,700,2,30,2,4,5,6.9166666665,8.25
sim_000157,30,700,2,30,2,4,5,6.9166666665,10.75
